ID;Nom;Type;GB-Type (FILTRE 1);Thèmes-tags;GB-Themes-tags (FILTRE 2);Filière;Filière picto;numfil;GB-Sector (FILTRE 3);Ens. sup. recherche;Département;Hébergeur;Adresse;CP;Ville;Innov'up incubation 2023;GB-Label INNOV'UP;Liens avec établissement ESR;GB-Linked with higher education and research institutions;Accueil d'entreprises étrangères;GB-Foreign business accommodation;W3;Raison sociale;SIRET;Incubateur;Accélérateur;Date mise à jour;Adresse complète;CoordXY;Nombre de thèmes-tags;Thème 1 (popin);Thème 2 (popin);Thème 3 (popin);Thème 4 (popin)
160;La Fabrique 621;Incubateur;Incubator;Luxe / Beauté / Cosmétique / Mode / Textile,Impact environnemental, Durabilité, économie circulaire;Luxury / Beauty / Cosmetic / Fashion / Textile,Environmental impact / Sustainability / Circular economy;5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Oui;93.0;;32 avenue Henri Varagnat;93140.0;Bondy;Oui;Yes;;;;;https://lafabrique621.com/;LA FABRIQUE 621;83471348900021;Oui;non;2024_04_29;32 avenue Henri Varagnat;48.914385, 2.485586;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Impact environnemental, Durabilité, économie circulaire;;
169;CCI Seine-Saint-Denis;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;191 avenue Paul Vaillant Couturier;93000.0;Bobigny;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;Oui;non;2024_04_29;191 avenue Paul Vaillant Couturier;48.908664, 2.451124;;;;;
179;PI CUBE;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;78.0;;8 rue Marie et Robert Dubois;78200.0;Mantes-la-Jolie;Non;No;;;;;https://gpseo.fr/entreprendre/mon-projet-dentreprise/lincubateur-pi-cube;;;Oui;non;2024_04_29;8 rue Marie et Robert Dubois;48.990214, 1.718417;;;;;
209;INRIA Startup Studio - Paris;Incubateur;Incubator;Deeptech,Développement de logiciels / Service Cloud / Big data (ou données de masse);Deeptech,Software development / Cloud services / Big data;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Oui;75.0;Centre Inria de Paris;2 rue Simone Iff;75012.0;Paris;Non;No;INRIA;INRIA;Oui;yes;https://www.inria.fr/en/inria-startup-studio;INRIA;18008904700138;Oui;non;2024_05_22;2 rue Simone Iff;48.841608, 2.38446;2.0;Deeptech;Développement de logiciels / Service Cloud / Big data (ou données de masse);;
222;Entrepreneurs dans la Ville;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;Le Plateau Urbain;4 rue Saint-Martin;75004.0;Paris;Non;No;EM Lyon;EM Lyon;;;https://entrepreneursdanslaville.com/le-programme-incubation;;;Oui;non;2024_05_22;4 rue Saint-Martin 75004 Paris;48.856952, 2.349214;;;;;
5;3DEXPERIENCE Lab de Dassault Systèmes (Paris Campus);Incubateur;Incubator;Deeptech,Aéronautique - Spatial - Défense,Tourisme / Ville intelligente / PropTech,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Deeptech,Aeronautics / Space / Defense,Tourism / Smart City / Proptech,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;78.0;;10 rue Marcel Dassault;78140.0;Vélizy-Villacoublay;Non;No;;;Oui;yes;https://3dexperiencelab.3ds.com/fr/;;;Oui;non;2024_04_29;10 rue Marcel Dassault;48.785924, 2.210864;4.0;Deeptech;Aéronautique - Spatial - Défense;Tourisme / Ville intelligente / PropTech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins
6;50 Partners;Incubateur,Accélérateur;Incubator, Accelerator;Deeptech,Impact environnemental, Durabilité, économie circulaire,Développement de logiciels / Service Cloud / Big data (ou données de masse),Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Deeptech,Environmental impact / Sustainability / Circular economy,Software development / Cloud services / Big data,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;62 rue Jean-Jacques Rousseau;75001.0;Paris;Non;No;;;Oui;yes;https://www.50partners.fr/;;75302014800023;Oui;Oui;2024_04_29;62 rue Jean-Jacques Rousseau;48.864088, 2.343744;4.0;Deeptech;Impact environnemental, Durabilité, économie circulaire;Développement de logiciels / Service Cloud / Big data (ou données de masse);Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins
8;Agoranov;Incubateur;Incubator;Deeptech,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins,Industrie / Logistique,Impact environnemental, Durabilité, économie circulaire,Développement de logiciels / Service Cloud / Big data (ou données de masse);Deeptech,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare,Industry / Logistic,Environmental impact / Sustainability / Circular economy,Software development / Cloud services / Big data;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Oui;75.0;;96 bis bd Raspail;75006.0;Paris;Oui;Yes;Sorbonne Université, PSL, INRIA;Sorbonne University, PSL, INRIA;;;https://www.agoranov.com/;;43341799500043;Oui;non;2024_04_29;96 bis bd Raspail;48.846184, 2.32815;5.0;Deeptech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Industrie / Logistique;Impact environnemental, Durabilité, économie circulaire
9;Les Canaux;Incubateur,Accélérateur;Incubator, Accelerator;Impact environnemental, Durabilité, économie circulaire,Tourisme / Ville intelligente / PropTech,Immobilier / Construction,Impact social / Solidarité;Environmental impact / Sustainability / Circular economy,Tourism / Smart City / Proptech,Real Estate / Construction,Social impact / Solidarity;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;6 quai de la Seine;75019.0;Paris;Non;No;;;;;https://lescanaux.com/;;;Oui;Oui;2024_04_29;6 quai de la Seine;48.884656, 2.370645;4.0;Impact environnemental, Durabilité, économie circulaire;Tourisme / Ville intelligente / PropTech;Immobilier / Construction;Impact social / Solidarité
14;Bond'innov;Incubateur;Incubator;Impact social / Solidarité,Impact environnemental, Durabilité, économie circulaire;Social impact / Solidarity,Environmental impact / Sustainability / Circular economy;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;Le Cargo;157 bd Macdonald;75019.0;Paris;Non;No;IRD, Université Sorbonne Paris-Nord;IRD, Sorbonne University Paris-Nord;Oui;yes;https://bondinnov.com;;53443505200012;Oui;non;2024_04_29;Le Cargo 157 bd Macdonald;48.898595, 2.378185;2.0;Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;;
15;Bpifrance Le Hub;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;6-8 bd Haussmann;75009.0;Paris;Non;No;;;;;https://lehub.bpifrance.fr/;;;non;Oui;2024_04_29;6-8 bd Haussmann;48.872296, 2.338989;;;;;
25;Cyber @ STATION F by THALES;Accélérateur;Accelerator;Deeptech,Aéronautique - Spatial - Défense,Développement de logiciels / Service Cloud / Big data (ou données de masse);Deeptech,Aeronautics / Space / Defense,Software development / Cloud services / Big data;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;Oui;yes;https://cyber-at-stationf.com/en/;;;non;Oui;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;3.0;Deeptech;Aéronautique - Spatial - Défense;Développement de logiciels / Service Cloud / Big data (ou données de masse);
35;Foundry Powered by IFA Paris;Incubateur;Incubator;Luxe / Beauté / Cosmétique / Mode / Textile,Biens de consommation / Retail / E-commerce;Luxury / Beauty / Cosmetic / Fashion / Textile,Consumer goods / Retail / E-commerce;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;;18-24 quai de la Marne;75019.0;Paris;Non;No;;;Oui;yes;https://www.ifaparis.com/fr/programmes/entrepreneur/startup/;;;Oui;non;2024_04_29;18-24 quai de la Marne;48.889265, 2.382028;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce;;
42;IESA Incub';Incubateur,Accélérateur;Incubator, Accelerator;Industries Culturelles & Créatives,Marketing / Publicité / Communication / Media,Impact environnemental, Durabilité, économie circulaire,Impact social / Solidarité;Cultural / Creative,Marketing / Advertising / Communication / Media,Environmental impact / Sustainability / Circular economy,Social impact / Solidarity;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Oui;75.0;IESA;1 cité Griset;75011.0;Paris;Non;No;IESA;IESA;Oui;yes;https://www.iesa.fr/incubateur;IESA;;Oui;Oui;2024_04_29;1 cité Griset;48.86643, 2.379025;4.0;Industries Culturelles & Créatives;Marketing / Publicité / Communication / Media;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité
45;IMT Starter;Incubateur;Incubator;Développement de logiciels / Service Cloud / Big data (ou données de masse),AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;Software development / Cloud services / Big data,AR / VR / Gaming;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Oui;91.0;;9 rue Charles Fourier;91000.0;Evry-Courcouronnes;Oui;Yes;Telecom Sud Paris - IPP;Telecom Sud Paris - IPP;Oui;yes;https://www.imt-starter.fr/;INSTITUT MINES TELECOM SUDPARIS;18009202500055;Oui;non;2024_04_29;9 rue Charles Fourier;48.624924, 2.443937;2.0;Développement de logiciels / Service Cloud / Big data (ou données de masse);AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;;
49;Incub'Université Sorbonne Paris Nord;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;93.0;Campus de l'Université Paris 13;99 avenue Jean-Baptiste Clément;93430.0;Villetaneuse;Non;No;Université Sorbonne Paris Nord;Sorbonne Paris Nord University;;;https://incub.univ-paris13.fr/;Université Sorbonne Paris Nord;19931238000017;Oui;non;2024_04_29;Campus de l'Université Paris 13 99 avenue Jean-Baptiste Clément;48.959867, 2.344926;;;;;
60;Télécom Paris - IPP @ STATION F;Incubateur;Incubator;Deeptech,Développement de logiciels / Service Cloud / Big data (ou données de masse),AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo,Automobile, Mobilité, Mobilité partagée,Etudiant;Deeptech,Software development / Cloud services / Big data,AR / VR / Gaming,Automotive / Mobility / Shared mobility,Student;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Oui;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Oui;Yes;Telecom Paris - IPP;Telecom Paris - IPP;;;https://incubateur-telecomparis.fr/;INSTITUT MINES TELECOM PARIS;;Oui;non;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;5.0;Deeptech;Développement de logiciels / Service Cloud / Big data (ou données de masse);AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;Automobile, Mobilité, Mobilité partagée
66;Incubateur Jean-Luc François;Incubateur;Incubator;Luxe / Beauté / Cosmétique / Mode / Textile;Luxury / Beauty / Cosmetic / Fashion / Textile;5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;93.0;;47 rue des Pommiers;93500.0;Pantin;Non;No;;;;;https://association-jeanlucfrancois.blogspot.com/2022/09/appel-la-candidature.html#more;ASSOCIATION JEAN LUC FRANCOIS;53352075500018;Oui;non;2024_04_29;47 rue des Pommiers;48.885253, 2.410695;1.0;Luxe / Beauté / Cosmétique / Mode / Textile;;;
67;Incubateur du Patrimoine;Incubateur;Incubator;Impact environnemental, Durabilité, économie circulaire,Tourisme / Ville intelligente / PropTech,Immobilier / Construction,Gouvernement / Institutions Publiques;Environmental impact / Sustainability / Circular economy,Tourism / Smart City / Proptech,Real Estate / Construction,Government / Public institutions;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;Hôtel De Sully;62 rue Saint Antoine;75004.0;Paris;Non;No;;;Oui;yes;https://www.lincubateurdupatrimoine.fr/;Centre des Monuments Nationaux;18004601300017;Oui;non;2024_04_29;Hôtel De Sully 62 rue Saint Antoine;48.85441, 2.363701;4.0;Impact environnemental, Durabilité, économie circulaire;Tourisme / Ville intelligente / PropTech;Immobilier / Construction;Gouvernement / Institutions Publiques
68;La Ruche;Incubateur,Accélérateur;Incubator, Accelerator;Impact environnemental, Durabilité, économie circulaire,Femmes / FemTech,Impact social / Solidarité;Environmental impact / Sustainability / Circular economy,Women / FemTech,Social impact;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;24 rue de l'Est;75020.0;Paris;Oui;Yes;;;;;https://la-ruche.net/;L'Académie des Ruches;50299030200049;Oui;Oui;2024_04_29;24 rue de l'Est;48.871126, 2.393389;3.0;Impact environnemental, Durabilité, économie circulaire;Femmes / FemTech;Impact social / Solidarité;
70;The Human Safety Net Saint Denis - La Ruche;Incubateur;Incubator;Impact social / Solidarité;Social impact / Solidarity;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;232 avenue du Président Wilson;93200.0;Saint-Denis;Oui;Yes;;;;;http://www.la-ruche.net;L'Académie des Ruches;50299030200056;Oui;non;2024_04_29;232 avenue du Président Wilson;48.91587, 2.358129;1.0;Impact social / Solidarité;;;
72;La Turbine - Cergy Port;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;95.0;;32 boulevard du Port;95000.0;Cergy;Oui;Yes;CY - Cergy Paris Université;CY - Cergy Paris University;Oui;yes;https://laturbine-cergypontoise.fr/;Communauté d'Agglomération de Cergy-Pontoise;;Oui;non;2024_04_29;32 boulevard du Port;49.032934, 2.065594;;;;;
76;Le Grand Bain, incubateur ENSCI les Ateliers;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;;48 rue Saint Sabin;75011.0;Paris;Non;No;ENSCI;ENSCI;;;https://www.ensci.com/formations/createur-industriel/professionnalisation/le-grand-bain/incubateur;ENSCI;33111876000015;Oui;non;2024_04_29;48 rue Saint Sabin;48.858436, 2.369182;;;;;
111;SAP.iO Foundry Paris;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;Leonardo Center TOUR SAP;35 rue d'Alsace;92300.0;Levallois-Perret;Non;No;;;Oui;yes;https://sap.io/foundry-paris/;;;non;Oui;2024_04_29;Leonardo Center TOUR SAP 35 rue d'Alsace;48.892907, 2.298113;;;;;
123;Urban Odyssey by ICADE;Incubateur;Incubator;Impact environnemental, Durabilité, économie circulaire,Energie renouvelable,Tourisme / Ville intelligente / PropTech,Immobilier / Construction;Environmental impact / Sustainability / Circular economy,Energy / Renewables,Tourism / Smart City / Proptech,Real Estate / Construction;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;;22B rue des Taillandiers;75011.0;Paris;Non;No;;;Oui;yes;https://urbanodyssey.com/;;;Oui;non;2024_04_29;22B rue des Taillandiers;48.854469, 2.37518;4.0;Impact environnemental, Durabilité, économie circulaire;Energie renouvelable;Tourisme / Ville intelligente / PropTech;Immobilier / Construction
125;WILCO - INDUSTRY;Accélérateur;Accelerator;Deeptech,Industrie / Logistique,Energie renouvelable,Immobilier / Construction,FoodTech, Agritech, Agrotech;Deeptech,Industry / Logistic,Energy / Renewables,Real Estate / Construction,FoodTech / Agritech / Agrotech;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;;10 rue de Moussy;75004.0;Paris;Non;No;;;Oui;yes;https://www.wilco-ambitions.com/secteurs/industry/;;;non;Oui;2024_04_29;10 rue de Moussy;48.857658, 2.355766;5.0;Deeptech;Industrie / Logistique;Energie renouvelable;Immobilier / Construction
126;WILLA;Incubateur,Accélérateur;Incubator, Accelerator;Femmes / FemTech;Women / FemTech;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;35 rue du Sentier;75002.0;Paris;Oui;Yes;;;;;https://hellowilla.co/;Incubateur au féminin;45274028500047;Oui;Oui;2024_04_29;35 rue du Sentier;48.869889, 2.34617;1.0;Femmes / FemTech;;;
136;Microsoft Environmental Start-up Accelerator @ STATION F;Accélérateur;Accelerator;Impact environnemental, Durabilité, économie circulaire;Environmental impact / Sustainability / Circular economy;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://news.microsoft.com/fr-fr/2021/11/10/environmental-start-up-accelerator-europeen-station-f/;Microsoft;;non;Oui;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;1.0;Impact environnemental, Durabilité, économie circulaire;;;
152;Antropia Essec;Incubateur;Incubator;Impact social / Solidarité,Impact environnemental, Durabilité, économie circulaire,Sport / Handicap / Bien-Etre;Social impact / Solidarity,Environmental impact / Sustainability / Circular economy,Sport / Autonomy / Handicap / Well-being;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;95.0;;1 avenue Bernard Hirsh;95000.0;Cergy;Non;No;ESSEC;ESSEC;;;https://antropia-essec.fr/;Antropia;50340039200018;Oui;Oui;2024_04_29;1 avenue Bernard Hirsh;49.033607, 2.078442;3.0;Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;Sport / Handicap / Bien-Etre;
159;INCO;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;3 boulevard St-Martin;75003.0;Paris;Oui;Yes;;;;;https://inco-group.co/;;;Oui;non;2024_04_29;3 boulevard St-Martin;48.867894, 2.361668;;;;;
185;WACANO ORLY;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;91.0;;9 rue Hélène Boucher;91550.0;Paray-Vieille-Poste;Non;No;;;;;https://wacano.co/;;;Oui;non;2024_04_29;9 rue Hélène Boucher;48.739992, 2.35885;;;;;
186;WACANO SEINE;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;25 quai Paul Doumer;92400.0;Courbevoie;Non;No;;;;;https://wacano.co/;;;Oui;non;2024_04_29;25 quai Paul Doumer;48.891526, 2.257818;;;;;
192;La Caserne;Accélérateur;Accelerator;Luxe / Beauté / Cosmétique / Mode / Textile,Biens de consommation / Retail / E-commerce;Luxury / Beauty / Cosmetic / Fashion / Textile,Consumer goods / Retail / E-commerce;5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;75.0;;12 rue Philippe de Girard;75010.0;Paris;Non;No;;;Oui;yes;https://www.lacaserneparis.com/;LA CASERNE;85399833400017;non;Oui;2024_04_29;12 rue Philippe de Girard;48.88165, 2.36201;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce;;
223;FIND Climate;Accélérateur;Accelerator;Durabilité, économie circulaire,Deeptech,Energie renouvelable,Automobile, Mobilité, Mobilité partagée;Environmental impact / Sustainability / Circular economy,Deeptech,Energy / Renewables,Automotive / Mobility / Shared mobility;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;5 rue Noël Pons;92000.0;Nanterre;Non;No;;;Oui;yes;https://www.find-climate.com/;;;non;Oui;2024_05_22;5 rue Noël Pons 92000 Nanterre;48.9050229, 2.2200841;4.0;Durabilité, économie circulaire;Deeptech;Energie renouvelable;Automobile, Mobilité, Mobilité partagée
37;Future4care, accélérateur européen de startups en santé digitale;Incubateur,Accélérateur;Incubator, Accelerator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;75.0;;6-9 rue Jean Antoine de Baïf;75013.0;Paris;Non;No;;;Oui;yes;https://future4care.com/;;;Oui;Oui;2024_04_29;6-9 rue Jean Antoine de Baïf;48.827767, 2.383965;1.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;
38;Genopole;Incubateur;Incubator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins,Chimie / Matériaux,FoodTech, Agritech, Agrotech,Energie renouvelable,Développement de logiciels / Service Cloud / Big data (ou données de masse);Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare,Chemistry / Materials,FoodTech / Agritech / Agrotech,Energy / Renewables,Software development / Cloud services / Big data;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Oui;91.0;Genopole Campus 1;20 rue Henri Desbruères;91030.0;Evry-Courcouronnes;Oui;Yes;GENOPOLE, université d'Evry, CEA, INRA, CNRS, INSERM;GENOPOLE, Evry University, CEA, INRA, CNRS, INSERM;Oui;yes;https://www.genopole.fr;;18910014200026;Oui;non;2024_04_29;20 rue Henri Desbruères;48.619075, 2.450565;5.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Chimie / Matériaux;FoodTech, Agritech, Agrotech;Energie renouvelable
65;iPEPS @ Medtech medtech generator et accelerator;Incubateur,Accélérateur;Incubator, Accelerator;Deeptech,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins,Développement de logiciels / Service Cloud / Big data (ou données de masse);Deeptech,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare,Software development / Cloud services / Big data;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Oui;75.0;;187 rue du Chevaleret;75013.0;Paris;Oui;Yes;Institut du Cerveau;Institut du Cerveau;;;https://ipeps.institutducerveau-icm.org/;Institut du Cerveau - Paris Brain Institute;;Oui;Oui;2024_04_29;187 rue du Chevaleret;48.833871, 2.368184;3.0;Deeptech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Développement de logiciels / Service Cloud / Big data (ou données de masse);
108;PULSE;Incubateur;Incubator;Impact social / Solidarité,Impact environnemental, Durabilité, économie circulaire;Social impact / Solidarity,Environmental impact / Sustainability / Circular economy;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;104 avenue de la Résistance;93100.0;Montreuil;Oui;Yes;;;Oui;yes;https://www.france.pulse-group.org/;Groupe SOS;;Oui;non;2024_04_29;104 avenue de la Résistance;48.864222, 2.436189;2.0;Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;;
117;Springboard by Imagine;Incubateur;Incubator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;75.0;;24 boulevard du Montparnasse;75015.0;Paris;Non;No;;;;;https://www.institutimagine.org/en/springboard-imagines-accelerator-128;;;Oui;non;2024_04_29;24 boulevard du Montparnasse;48.845638, 2.318425;1.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;
122;Ubisoft Entrepreneurs Lab @ STATION F;Incubateur;Incubator;AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;AR / VR / Gaming;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;Oui;yes;https://www.ubisoft.com/fr-fr/company/about-us/innovation/startup-programs/lab;;;Oui;non;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;1.0;AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;;;
137;212 Founders by CDG invest @ STATION F;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://www.212founders.co/;CDG Invest;;non;Oui;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;;;;;
163;CCI Versailles-Yvelines;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;78.0;;21 avenue de Paris;78000.0;Versailles;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;Oui;non;2024_04_29;21 avenue de Paris;48.801305, 2.134968;;;;;
167;CCI Val-d'Oise;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;95.0;;35 boulevard du Port Cap Cergy Bâtiment C1 - CS 20209;95000.0;Cergy;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;Oui;non;2024_04_29;35 boulevard du Port Cap Cergy Bâtiment C1 - CS 20209;49.039302, 2.077901;;;;;
171;Positiv'Incuba'School @ Workstation;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;25 avenue Paul Doumer;92400.0;Courbevoie;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;Oui;non;2024_04_29;25 avenue Paul Doumer;48.89478, 2.261165;;;;;
173;E-TONOMY BOOST;Incubateur;Incubator;;;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;78.0;;17 rue Albert Thomas;78130.0;Les Mureaux;Non;No;;;;;https://www.agence-autonomy.fr/;;;Oui;non;2024_04_29;17 rue Albert Thomas;48.982885, 1.923097;;;;;
187;WACANO PARIS SOLEILLET;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;14 rue Soleillet;75020.0;Paris;Non;No;;;;;https://wacano.co/;;;Oui;non;2024_04_29;14 rue Soleillet;48.865534, 2.391717;;;;;
188;KB11, Creative Cluster;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;94.0;;11 rue Carnot;94270.0;Le Kremlin-Bicêtre;Non;No;;;;;https://www.creative-valley.fr/;;;non;Oui;2024_04_29;11 rue Carnot;48.80948, 2.364285;;;;;
197;Spartners by Servier & BioLabs;Accélérateur;Accelerator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;91.0;Servier;22 route 128;91190.0;Gif-sur-Yvette;Non;No;;;Oui;yes;https://www.biolabs.io/spartners;LES LABORATOIRES SERVIER;8548079600151;non;Oui;2024_04_29;22 route 128;48.71362, 2.16922;1.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;
22;Creative Valley;Incubateur,Accélérateur;Incubator, Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;Wework;198 avenue de France;75013.0;Paris;Non;No;;;;;https://www.creative-valley.fr/fr/copie-de-copie-de-adnx-2;CVG CREATIVE VALLEY GROUPE;;Oui;Oui;2024_04_29;Wework 198 avenue de France;48.836136, 2.371785;;;;;
